,composition,pretty_composition,parent_guess,materials_project_id,tc,debyet,elecspecheat,unit_elecspecheat,neelt,a1,a2,b1,b2,c1,d1,d2,e1,e2,f1,f2,g1,g2,h1,h2,i1,i2,o1,o2,o_empirical,lata,latb,latc,unit_lat
32733,Lu5Rh4Ge10,Lu5(Ge5Rh2)2,Lu5(Ge5Rh2)2,mp-1197583,2.79,300.0,,,,Lu,5.0,Rh,4.0,10.0,,,,,,,,,,,,,,,,12.85,,,A
32734,Lu5Ir4Ge10,Lu5(Ge5Ir2)2,Lu5(Ge5Ir2)2,mp-1196530,2.6,290.0,,,,Lu,5.0,Ir,4.0,10.0,,,,,,,,,,,,,,,,12.831,,,A
32741,Lu5Ir3.4Rh0.6Si10,Lu5Si10Ir3.4Rh0.6,Lu5(Si5Ir2)2,mp-542170,5.7,,,,,Lu,5.0,Ir,3.4,0.6,Si,10.0,,,,,,,,,,,,,,,,,
32742,Lu5Ir3.1Rh0.9Si10,Lu5Si10Ir3.1Rh0.9,Lu5(Si5Ir2)2,mp-542170,5.77,,,,,Lu,5.0,Ir,3.1,0.9,Si,10.0,,,,,,,,,,,,,,,,,
32743,Lu5Ir2.8Rh1.2Si10,Lu5Si10Ir2.8Rh1.2,Lu5(Si5Ir2)2,mp-542170,5.66,,,,,Lu,5.0,Ir,2.8,1.2,Si,10.0,,,,,,,,,,,,,,,,,
32744,Lu5Ir2Rh2Si10,Lu5Si10(IrRh)2,Lu5(Si5Ir2)2,mp-542170,5.45,,,,,Lu,5.0,Ir,2.0,2.0,Si,10.0,,,,,,,,,,,,,,,,,
32746,Pd2Sc1Sn1,ScSnPd2,ScSnPd2,mp-4897,2.15,,,,,Pd,2.0,Sc,1.0,1.0,,,,,,,,,,,,,,,,6.503,,,A
32747,Pd2Y1Sn1,YSnPd2,YSnPd2,mp-5538,4.55,,,,,Pd,2.0,Y,1.0,1.0,,,,,,,,,,,,,,,,6.716,,,A
32752,Pd2Tm1Sn1,TmSnPd2,TmSnPd2,mp-3942,2.82,,,,,Pd,2.0,Tm,1.0,1.0,,,,,,,,,,,,,,,,6.67,,,A
32753,Pd2Yb1Sn1,YbSnPd2,YbSnPd2,mp-4053,2.42,,,,,Pd,2.0,Yb,1.0,1.0,,,,,,,,,,,,,,,,6.658,,,A
32754,Pd2Lu1Sn1,LuSnPd2,LuSnPd2,mp-5181,3.05,,,,0.23,Pd,2.0,Lu,1.0,1.0,,,,,,,,,,,,,,,,6.645,,,A
32757,Ca4Rh6Pb19,Ca4Rh6Pb19,Ca4Rh6Pb19,mp-1214426,3.3,,,,,Ca,4.0,Rh,6.0,19.0,,,,,,,,,,,,,,,,14.23,,,A
32763,Y1.8Th0.2C2.7,Y1.8Th0.2C2.7,Y2C3,mp-1695,12.0,,,,,Y,1.8,Th,0.2,2.7,,,,,,,,,,,,,,,,8.2719,,,A
32764,Y1.6Th0.4C2.7,Y1.6Th0.4C2.7,Y2C3,mp-1695,14.7,,,,,Y,1.6,Th,0.4,2.7,,,,,,,,,,,,,,,,8.302,,,A
32765,Y1.4Th0.6C2.7,Y1.4Th0.6C2.7,Y2C3,mp-1695,16.4,,,,,Y,1.4,Th,0.6,2.7,,,,,,,,,,,,,,,,8.334,,,A
32766,Y1.3Th0.7C2.7,Y1.3Th0.7C2.7,Y2C3,mp-1695,16.8,,,,,Y,1.3,Th,0.7,2.7,,,,,,,,,,,,,,,,8.376,,,A
32767,Y1.2Th0.8C2.7,Y1.2Th0.8C2.7,Y2C3,mp-1695,16.0,,,,,Y,1.2,Th,0.8,2.7,,,,,,,,,,,,,,,,8.394,,,A
32768,Y1Th1C2.7,Y1Th1C2.7,Y2C3,mp-1695,15.5,,,,,Y,1.0,Th,1.0,2.7,,,,,,,,,,,,,,,,,,,
32769,Y0.8Th1.2C2.7,Y0.8Th1.2C2.7,Th2C3,mp-1188514,15.1,,,,,Y,0.8,Th,1.2,2.7,,,,,,,,,,,,,,,,8.455,,,A
32770,Y0.6Th1.4C2.7,Y0.6Th1.4C2.7,Th2C3,mp-1188514,14.4,,,,,Y,0.6,Th,1.4,2.7,,,,,,,,,,,,,,,,8.494,,,A
32771,Y1.4Th0.6C2.4,Y1.4Th0.6C2.4,Y2C3,mp-1695,15.4,,,,,Y,1.4,Th,0.6,2.4,,,,,,,,,,,,,,,,8.306,,,A
32772,Y0.6Th1.4C2.5,Y0.6Th1.4C2.5,Th2C3,mp-1188514,14.6,,,,,Y,0.6,Th,1.4,2.5,,,,,,,,,,,,,,,,8.473,,,A
32773,Y1.4Th0.6C2.8,Y1.4Th0.6C2.8,Y2C3,mp-1695,16.3,,,,,Y,1.4,Th,0.6,2.8,,,,,,,,,,,,,,,,8.3552,,,A
32774,Y1.4Th0.6C2.9,Y1.4Th0.6C2.9,Y2C3,mp-1695,16.3,,,,,Y,1.4,Th,0.6,2.9,,,,,,,,,,,,,,,,8.364,,,A
32775,Y1.2Th0.8C2.9,Y1.2Th0.8C2.9,Y2C3,mp-1695,15.8,,,,,Y,1.2,Th,0.8,2.9,,,,,,,,,,,,,,,,8.383,,,A
32776,Y0.6Th1.4C2.9,Y0.6Th1.4C2.9,Th2C3,mp-1188514,14.6,,,,,Y,0.6,Th,1.4,2.9,,,,,,,,,,,,,,,,8.481,,,A
32777,Y1.5Th0.5C3,Y1.5Th0.5C3,Y2C3,mp-1695,16.7,,,,,Y,1.5,Th,0.5,3.0,,,,,,,,,,,,,,,,8.34,,,A
32778,Y1.4Th0.6C3,Y1.4Th0.6C3,Y2C3,mp-1695,16.8,,,,,Y,1.4,Th,0.6,3.0,,,,,,,,,,,,,,,,8.364,,,A
32779,Y1.4Th0.6C3.1,Y1.4Th0.6C3.1,Y2C3,mp-1695,17.0,,,,,Y,1.4,Th,0.6,3.1,,,,,,,,,,,,,,,,8.362,,,A
32780,Y1.8Au0.2C2.6,Y1.8Au0.2C2.6,Y2C3,mp-1695,10.1,,,,,Y,1.8,Au,0.2,2.6,,,,,,,,,,,,,,,,8.2503,,,A
32781,Y1.8Ge0.2C2.7,Y1.8Ge0.2C2.7,Y2C3,mp-1695,10.6,,,,,Y,1.8,Ge,0.2,2.7,,,,,,,,,,,,,,,,8.286,,,A
32782,Y1.8Si0.2C2.7,Y1.8Si0.2C2.7,Y2C3,mp-1695,11.3,,,,,Y,1.8,Si,0.2,2.7,,,,,,,,,,,,,,,,8.272,,,A
32783,Y1.8Sn0.2C2.7,Y1.8Sn0.2C2.7,Y2C3,mp-1695,10.2,,,,,Y,1.8,Sn,0.2,2.7,,,,,,,,,,,,,,,,8.2431,,,A
32784,Y1.8Ru0.2C2.7,Y1.8Ru0.2C2.7,Y2C3,mp-1695,11.2,,,,,Y,1.8,Ru,0.2,2.7,,,,,,,,,,,,,,,,8.2408,,,A
32785,Y1.8Nb0.2C2.7,Y1.8Nb0.2C2.7,Y2C3,mp-1695,10.8,,,,,Y,1.8,Nb,0.2,2.7,,,,,,,,,,,,,,,,8.2389,,,A
32786,Y1.8Ti0.2C2.7,Y1.8Ti0.2C2.7,Y2C3,mp-1695,10.7,,,,,Y,1.8,Ti,0.2,2.7,,,,,,,,,,,,,,,,8.23,,,A
